ogc_fid,id,canton_id,income,houses,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
82,1822,18,47560.5,2257,21960.89468,3623.450918,3814.158861,147.3814643,3,7526.804913,13856.55365,6329.748738,0.456805415
95,1904,19,68495.68,1964.32,17291.30515,3549.013818,3735.804019,116.1796669,3,5556.737508,10923.01393,5366.276417,0.49128166
1,101,1,79226.57143,3652,13223.85322,3685.140553,3879.095319,89.13741401,3,5342.653025,8380.54748,3037.894454,0.362493556
46,1007,10,62305,1967.555556,18679.63059,3890.877638,4095.660671,110.7019707,3.222222222,8026.985855,10408.01029,2381.024432,0.228768455
105,2013,20,70893.64286,3280.5,20642.17524,3568.543788,3756.361882,137.4373094,3,7684.678923,12921.62118,5236.942257,0.405285234
51,1105,11,60205.27273,2151.636364,17423.75102,3604.982301,3794.718212,119.9226177,3,8545.647246,11274.91977,2729.272525,0.242065804
33,504,5,94271,12192,10051.73679,3512.046834,3696.891404,68.4098379,3,5565.368921,6431.776162,866.4072411,0.134707306
54,1108,11,62082,3520.666667,16939.04484,3502.911674,3687.275447,113.6816435,3,8194.592446,10688.15403,2493.561584,0.233301427
100,1909,19,71212,3319.642857,14987.01786,3530.100661,3715.895433,100.2940328,3,4961.026232,9429.473734,4468.447503,0.4738809
112,2105,21,67556.61538,2863.442308,13216.0311,3479.781296,3662.92768,79.07813143,2.961538462,5465.429929,7434.790906,1969.360977,0.264884514
122,2227,22,92132.90323,1272.112903,19271.59168,3866.117755,4069.597637,114.9462161,3.080645161,6810.483103,10807.04699,3996.563884,0.36981091
144,2406,24,46626,3938.333333,29705.33869,3546.191603,3732.833267,189.6568326,3,8312.131221,17831.21159,9519.080372,0.533843722
9,109,1,77807.1,12600.9,8242.162666,3537.445302,3723.626633,54.969676,3,4061.36285,5168.155087,1106.792237,0.214156158
27,315,3,56986.47826,2253.130435,23287.38395,3956.928669,4165.188073,155.0193012,3.217391304,7813.223797,14574.65004,6761.426239,0.463916885
81,1821,18,46634.0625,507.125,43841.7049,3293.736522,3467.091076,276.8238475,2.8125,12380.89428,26026.50551,13645.61123,0.524296711
124,2229,22,69386.5,8881.25,8696.898344,3587.584478,3776.404714,51.10828754,3,4416.560783,4805.113937,388.5531538,0.080862423
104,2012,20,68180.17391,2812.826087,22058.07663,3634.776243,3826.080256,147.2270551,3,8125.217478,13842.03635,5716.818876,0.41300418
117,2222,22,60259.48649,1115.864865,28777.97788,3793.910013,3993.589487,176.0204353,3.027027027,9100.766324,16549.1408,7448.374481,0.450076204
